training_episode,benchmark_episode_id,method,actor_critic_loss,policy_loss,value_loss,entropy,candidate_reward_mean,selected_reward_mean,task_completion_proxy,remaining_task_ratio,device
1,S11,paper1_deep_hgrl_ugv_assisted,2.252932548522949,1.6210756301879883,1.4335778430104256,1.3253185600042343,1.2661944776773453,1.3627476543188095,1.0,0.0,cuda
100,S53,paper1_deep_hgrl_ugv_assisted,0.11782549321651459,0.10111550090368837,0.049108510807855055,0.5388843361288309,1.2645622044801712,1.4952972382307053,1.0,0.0,cuda
200,S69,paper1_deep_hgrl_ugv_assisted,0.02491852268576622,0.022243599548801285,0.010684581866371445,0.21331384248333052,1.2042302787303925,1.3498581796884537,1.0,0.0,cuda
300,S51,paper1_deep_hgrl_ugv_assisted,0.05437169224023819,0.03232331213268935,0.0536155978043098,0.20786409184438526,1.3093283921480179,1.6223378330469131,1.0,0.0,cuda
400,S66,paper1_deep_hgrl_ugv_assisted,0.07123822718858719,0.06520044338481057,0.01868991408569798,0.23726761579018785,1.153009094297886,1.4033393189311028,1.0,0.0,cuda
500,S46,paper1_deep_hgrl_ugv_assisted,0.02277090772986412,0.01716311588572239,0.01680942252278328,0.19564489043659705,1.1910727620124817,1.419647216796875,1.0,0.0,cuda
600,S10,paper1_deep_hgrl_ugv_assisted,0.0571184977889061,0.05238830085727386,0.019951657042838633,0.42480496503412724,1.3112767934799194,1.409946009516716,1.0,0.0,cuda
700,S21,paper1_deep_hgrl_ugv_assisted,0.09555219113826752,0.09240549058267788,0.01604417880116671,0.4073180471023079,1.212193176150322,1.3532671183347702,1.0,0.0,cuda
800,S31,paper1_deep_hgrl_ugv_assisted,0.05347031354904175,0.03493683919077739,0.04776184600086708,0.29593571135774255,1.056707613170147,1.1732424050569534,1.0,0.0,cuda
900,S9,paper1_deep_hgrl_ugv_assisted,0.03150731325149536,0.030221309662010754,0.007976249253260903,0.23033075407147408,1.2044913321733475,1.3492239117622375,1.0,0.0,cuda
1000,S43,paper1_deep_hgrl_ugv_assisted,0.04603505879640579,0.03821287029859377,0.02475262629741337,0.33164917314413245,1.356842115521431,1.581919103860855,1.0,0.0,cuda
1100,S71,paper1_deep_hgrl_ugv_assisted,0.10469038039445877,0.10065717242332539,0.013452611390675884,0.20204644996400845,1.288882851600647,1.5120275169610977,1.0,0.0,cuda
1200,S32,paper1_deep_hgrl_ugv_assisted,0.016018759459257126,0.008844085525978818,0.0181513861498388,0.09934506504984597,1.25552536547184,1.5257071107625961,1.0,0.0,cuda
1300,S58,paper1_deep_hgrl_ugv_assisted,0.029231568798422813,0.029161037281980384,0.005096512355521554,0.22228998916261844,1.329279512166977,1.5508493930101395,1.0,0.0,cuda
1400,S93,paper1_deep_hgrl_ugv_assisted,0.03566187620162964,0.023697592210588203,0.030490349854517262,0.17563717719473004,1.175670050084591,1.394380658864975,1.0,0.0,cuda
1500,S1,paper1_deep_hgrl_ugv_assisted,0.02487311139702797,0.016912666440475732,0.02261890869704075,0.2218064283952117,1.3172126114368439,1.41734217107296,1.0,0.0,cuda
1600,S19,paper1_deep_hgrl_ugv_assisted,0.020216353237628937,0.014505859785572284,0.016234696437209095,0.15951202108772122,1.2794419527053833,1.4297174215316772,1.0,0.0,cuda
