training_episode,benchmark_episode_id,method,actor_critic_loss,policy_loss,value_loss,entropy,candidate_reward_mean,selected_reward_mean,task_completion_proxy,remaining_task_ratio,device
1,S25,paper3_deep_mw_maddpg_uav_swarm,3.372426986694336,2.2190171033143997,2.592581868171692,1.3251954391598701,1.3844879120588303,1.5274617224931717,1.0,0.0,cuda
100,S30,paper3_deep_mw_maddpg_uav_swarm,0.33986783027648926,0.3220131233756547,0.04933769744820893,0.4347258146153763,1.1899469494819641,1.3540259152650833,1.0,0.0,cuda
200,S42,paper3_deep_mw_maddpg_uav_swarm,0.14651226997375488,0.1490766452625394,0.015218525641870428,0.9412717893719673,1.4871509224176407,1.6019458174705505,1.0,0.0,cuda
300,S19,paper3_deep_mw_maddpg_uav_swarm,0.1491331309080124,0.15192349487915635,0.01354187603701007,0.8884202688932419,1.3757627457380295,1.5221773833036423,1.0,0.0,cuda
400,S11,paper3_deep_mw_maddpg_uav_swarm,0.063825823366642,0.06717018093331717,0.004448191106689592,0.534604474902153,1.260061040520668,1.449426457285881,1.0,0.0,cuda
500,S9,paper3_deep_mw_maddpg_uav_swarm,0.14050957560539246,0.13985625514760613,0.014660427608760074,0.5943860821425915,1.3308620601892471,1.4531572312116623,1.0,0.0,cuda
600,S64,paper3_deep_mw_maddpg_uav_swarm,0.03150075674057007,0.024144289705873234,0.022358705644364818,0.27049527154304087,1.2566085010766983,1.5291337370872498,1.0,0.0,cuda
700,S44,paper3_deep_mw_maddpg_uav_swarm,0.05293937027454376,0.0480098482221365,0.018400638923822044,0.33507692255079746,1.2567861378192902,1.3795039355754852,1.0,0.0,cuda
800,S30,paper3_deep_mw_maddpg_uav_swarm,0.08162125200033188,0.056737438309937716,0.06368061120156199,0.37724647438153625,1.2067893147468567,1.3802833259105682,1.0,0.0,cuda
900,S9,paper3_deep_mw_maddpg_uav_swarm,0.0712679997086525,0.06546406066263444,0.020770869276020676,0.35429491475224495,1.3308620601892471,1.4531572312116623,1.0,0.0,cuda
1000,S94,paper3_deep_mw_maddpg_uav_swarm,0.06892766058444977,0.06928205398071441,0.007441777206167899,0.3703198147704825,1.3261357843875885,1.5070643573999405,1.0,0.0,cuda
1100,S42,paper3_deep_mw_maddpg_uav_swarm,0.06734330952167511,0.06293864098188351,0.019823599672236014,0.4515958257543389,1.4871509224176407,1.6019458174705505,1.0,0.0,cuda
1200,S26,paper3_deep_mw_maddpg_uav_swarm,0.053398266434669495,0.04093134594950243,0.03420739386638161,0.2926405898761004,1.3045206665992737,1.5249461084604263,1.0,0.0,cuda
