training_episode,benchmark_episode_id,method,actor_critic_loss,policy_loss,value_loss,entropy,candidate_reward_mean,selected_reward_mean,task_completion_proxy,remaining_task_ratio,device
1,S27,paper4_deep_tanet_td3_multi_uav,4.924030303955078,2.961805582046509,4.389953374862671,1.3254593759775162,1.2311209440231323,1.575059413909912,1.0,0.0,cuda
100,S13,paper4_deep_tanet_td3_multi_uav,0.21624727547168732,0.22044609021395445,0.012808759191557328,0.9962750412523746,1.4771962612867355,1.6281360685825348,1.0,0.0,cuda
200,S4,paper4_deep_tanet_td3_multi_uav,0.11120757460594177,0.10240770125528798,0.0340435527759837,0.6519718952476978,1.4306240528821945,1.5775043815374374,1.0,0.0,cuda
300,S2,paper4_deep_tanet_td3_multi_uav,0.06029338389635086,0.06012555610504933,0.010885000856887928,0.4730421109125018,1.419687807559967,1.6172172874212265,1.0,0.0,cuda
400,S17,paper4_deep_tanet_td3_multi_uav,0.06420781463384628,0.03418400888767792,0.07306382324895822,0.28549163055140525,1.3177409768104553,1.6050762236118317,1.0,0.0,cuda
500,S43,paper4_deep_tanet_td3_multi_uav,0.10764510929584503,0.10201089085603599,0.021810978184021224,0.4180722665041685,1.455771416425705,1.6637846529483795,1.0,0.0,cuda
600,S6,paper4_deep_tanet_td3_multi_uav,0.05321840941905975,0.041483530279947445,0.03217819854035042,0.2745310189202428,1.2863949537277222,1.5235444605350494,1.0,0.0,cuda
700,S43,paper4_deep_tanet_td3_multi_uav,0.12347004562616348,0.122966220798844,0.01108700233453419,0.4485320036765188,1.5335212647914886,1.7003046721220016,1.0,0.0,cuda
800,S56,paper4_deep_tanet_td3_multi_uav,0.05241350084543228,0.023010437668745,0.0713073719816748,0.2685252733208472,1.1294626146554947,1.4464928954839706,1.0,0.0,cuda
900,S74,paper4_deep_tanet_td3_multi_uav,0.04151338338851929,0.016788436245860794,0.059292028439813294,0.19564677464222768,1.3717778623104095,1.648467794060707,1.0,0.0,cuda
