training_episode,benchmark_episode_id,method,actor_critic_loss,policy_loss,value_loss,entropy,candidate_reward_mean,selected_reward_mean,task_completion_proxy,remaining_task_ratio,device
1,S45,proposed_adaptive_hgrl,4.705935955047607,2.8120453357696533,4.238088011741638,1.3248926401138306,1.5368452668190002,1.7618672996759415,1.0,0.0,cuda
100,S68,proposed_adaptive_hgrl,0.16825085878372192,0.14442942827008665,0.06846583413425833,0.6988192200660706,1.5694022327661514,1.7537241727113724,1.0,0.0,cuda
200,S85,proposed_adaptive_hgrl,0.09900189936161041,0.10146980767603964,0.009551829753036145,0.6766231749206781,1.5661711990833282,1.74981327354908,1.0,0.0,cuda
300,S95,proposed_adaptive_hgrl,0.08993995934724808,0.09301682177465409,0.0065184598978547115,0.6010167747735977,1.6145332902669907,1.812432736158371,1.0,0.0,cuda
400,S85,proposed_adaptive_hgrl,0.0812239944934845,0.08124508638866246,0.014167900408665446,0.639664763584733,1.5657000988721848,1.74843929708004,1.0,0.0,cuda
500,S22,proposed_adaptive_hgrl,0.09353356063365936,0.09345876914449036,0.014696502044898807,0.6538634598255157,1.5229485780000687,1.653983235359192,1.0,0.0,cuda
600,S98,proposed_adaptive_hgrl,0.0582563616335392,0.048151754890568554,0.032170413236599416,0.43720779567956924,1.5374123603105545,1.7746863514184952,1.0,0.0,cuda
700,S90,proposed_adaptive_hgrl,0.06071660667657852,0.057300821208627895,0.017641945125433267,0.45230880193412304,1.3939686715602875,1.635007083415985,1.0,0.0,cuda
800,S62,proposed_adaptive_hgrl,0.07300446927547455,0.07715852122055367,0.003328413382405415,0.5651833405718207,1.5083903670310974,1.6906961649656296,1.0,0.0,cuda
900,S2,proposed_adaptive_hgrl,0.07130727171897888,0.06627867932547815,0.02259881514692097,0.5140874199569225,1.6576922833919525,1.7834419012069702,1.0,0.0,cuda
1000,S54,proposed_adaptive_hgrl,0.1831953376531601,0.0874972927122144,0.22089924087867985,0.37066142726689577,1.1844098828732967,1.539159219712019,1.0,0.0,cuda
1100,S90,proposed_adaptive_hgrl,0.05016400292515755,0.04801316338125616,0.011853212112328038,0.3183105164207518,1.3939686715602875,1.635007083415985,1.0,0.0,cuda
1200,S22,proposed_adaptive_hgrl,0.07722825556993484,0.07892278674989939,0.008594623945100466,0.5562115535140038,1.5162851810455322,1.653983235359192,1.0,0.0,cuda
1300,S86,proposed_adaptive_hgrl,0.03914923220872879,0.024047037250056746,0.039052108046234935,0.24712558358442038,1.5530630946159363,1.8568304479122162,1.0,0.0,cuda
1400,S25,proposed_adaptive_hgrl,0.07009744644165039,0.05504109676076041,0.041225149338060874,0.34949645109009,1.5212171971797943,1.7498085647821426,1.0,0.0,cuda
1500,S63,proposed_adaptive_hgrl,0.019590947777032852,0.01456280073034577,0.01526829107751837,0.18425829405896366,1.570021539926529,1.8603888303041458,1.0,0.0,cuda
1600,S38,proposed_adaptive_hgrl,0.12580333650112152,0.11099956764974195,0.0389472953766159,0.27225159273075406,1.5141739919781685,1.7687754109501839,1.0,0.0,cuda
1700,S94,proposed_adaptive_hgrl,0.022199150174856186,0.016949040152212547,0.014690181818878045,0.13604714706889354,1.5064159780740738,1.7681264281272888,1.0,0.0,cuda
1800,S76,proposed_adaptive_hgrl,0.058393917977809906,0.024738316060393117,0.07921073818579316,0.19892282627962032,1.3508685678243637,1.582107201218605,1.0,0.0,cuda
1900,S79,proposed_adaptive_hgrl,0.030961230397224426,0.026276916975035647,0.014080470970656123,0.16518976897395987,1.379090279340744,1.6421456336975098,1.0,0.0,cuda
2000,S42,proposed_adaptive_hgrl,0.07728993892669678,0.05350467479729559,0.06140240730019286,0.38458168832585216,1.6973077654838562,1.827739641070366,1.0,0.0,cuda
2100,S75,proposed_adaptive_hgrl,0.06615439802408218,0.05564890806260081,0.03013521250102258,0.30553536826437266,1.4445955604314804,1.6486651450395584,1.0,0.0,cuda
2200,S34,proposed_adaptive_hgrl,0.3494998514652252,0.3256702428116096,0.05763763090362772,0.21072979104684464,1.4173982739448547,1.6968318223953247,1.0,0.0,cuda
2300,S29,proposed_adaptive_hgrl,0.026547351852059364,0.012330448159822538,0.03411711078661028,0.11357956577512596,1.285743162035942,1.5808087885379791,1.0,0.0,cuda
2400,S55,proposed_adaptive_hgrl,0.06747224181890488,0.06153921040895227,0.016666875992086716,0.15670610181769007,1.500396803021431,1.750263288617134,1.0,0.0,cuda
2500,S85,proposed_adaptive_hgrl,0.021390274167060852,0.018049429261736805,0.012060195636877324,0.20862425433006138,1.5657000988721848,1.74843929708004,1.0,0.0,cuda
2600,S58,proposed_adaptive_hgrl,0.02840157225728035,0.011070001110670358,0.0413540226254554,0.12777370446556802,1.582310527563095,1.9016717374324799,1.0,0.0,cuda
2700,S43,proposed_adaptive_hgrl,0.024817435070872307,0.020804815663723275,0.012828499925605641,0.17602050746791065,1.6838212758302689,1.8867440521717072,1.0,0.0,cuda
2800,S51,proposed_adaptive_hgrl,0.04692060872912407,0.014318659685599755,0.07596457551699132,0.15821112938124315,1.5951125919818878,1.8686055392026901,1.0,0.0,cuda
2900,S23,proposed_adaptive_hgrl,0.07984501123428345,0.0631573008175792,0.04443511106364895,0.33080876192616415,1.6241430193185806,1.7536091655492783,1.0,0.0,cuda
3000,S39,proposed_adaptive_hgrl,0.03275061026215553,0.022390151282650095,0.026637424015461875,0.16263811453882226,1.5878101289272308,1.8508935868740082,1.0,0.0,cuda
3100,S52,proposed_adaptive_hgrl,0.029163271188735962,0.02457592151040444,0.015500683733989717,0.2387959377192601,1.610436737537384,1.8716179579496384,1.0,0.0,cuda
3200,S83,proposed_adaptive_hgrl,0.010119677521288395,0.005336028089913958,0.012472753078327514,0.08290891075444051,1.5564528703689575,1.799157977104187,1.0,0.0,cuda
