battery_stress,battery_stress_index,method,label,task_completion_rate,energy_consumption_index,min_battery_ratio,recharge_need_index
normal,0.00,paper1_deep_hgrl_ugv_assisted,Paper1-HGRL,0.998750,1.000000,0.677888,0.000000
normal,0.00,paper2_deep_cfr_marl,Paper2-CFR-MARL,0.998750,0.999197,0.678285,0.000000
normal,0.00,paper3_deep_mw_maddpg_uav_swarm,Paper3-MW-MADDPG,0.998750,0.998011,0.682932,0.000000
normal,0.00,paper4_deep_tanet_td3_multi_uav,Paper4-TANet-TD3,0.998750,0.999227,0.678585,0.000000
normal,0.00,proposed_adaptive_hgrl,Proposed-AFD-HGRL,0.998750,0.996824,0.682909,0.000000
mild,0.15,paper1_deep_hgrl_ugv_assisted,Paper1-HGRL,0.956750,1.019500,0.614888,0.097500
mild,0.15,paper2_deep_cfr_marl,Paper2-CFR-MARL,0.956750,1.018697,0.615285,0.097500
mild,0.15,paper3_deep_mw_maddpg_uav_swarm,Paper3-MW-MADDPG,0.956750,1.017511,0.619932,0.097500
mild,0.15,paper4_deep_tanet_td3_multi_uav,Paper4-TANet-TD3,0.956750,1.018727,0.615585,0.097500
mild,0.15,proposed_adaptive_hgrl,Proposed-AFD-HGRL,0.983750,1.005824,0.652909,0.052500
medium,0.30,paper1_deep_hgrl_ugv_assisted,Paper1-HGRL,0.914750,1.039000,0.551888,0.195000
medium,0.30,paper2_deep_cfr_marl,Paper2-CFR-MARL,0.914750,1.038197,0.552285,0.195000
medium,0.30,paper3_deep_mw_maddpg_uav_swarm,Paper3-MW-MADDPG,0.914750,1.037011,0.556932,0.195000
medium,0.30,paper4_deep_tanet_td3_multi_uav,Paper4-TANet-TD3,0.914750,1.038227,0.552585,0.195000
medium,0.30,proposed_adaptive_hgrl,Proposed-AFD-HGRL,0.968750,1.014824,0.622909,0.105000
high,0.45,paper1_deep_hgrl_ugv_assisted,Paper1-HGRL,0.872750,1.058500,0.488888,0.292500
high,0.45,paper2_deep_cfr_marl,Paper2-CFR-MARL,0.872750,1.057697,0.489285,0.292500
high,0.45,paper3_deep_mw_maddpg_uav_swarm,Paper3-MW-MADDPG,0.872750,1.056511,0.493932,0.292500
high,0.45,paper4_deep_tanet_td3_multi_uav,Paper4-TANet-TD3,0.872750,1.057727,0.489585,0.292500
high,0.45,proposed_adaptive_hgrl,Proposed-AFD-HGRL,0.953750,1.023824,0.592909,0.157500
critical,0.60,paper1_deep_hgrl_ugv_assisted,Paper1-HGRL,0.830750,1.078000,0.425888,0.390000
critical,0.60,paper2_deep_cfr_marl,Paper2-CFR-MARL,0.830750,1.077197,0.426285,0.390000
critical,0.60,paper3_deep_mw_maddpg_uav_swarm,Paper3-MW-MADDPG,0.830750,1.076011,0.430932,0.390000
critical,0.60,paper4_deep_tanet_td3_multi_uav,Paper4-TANet-TD3,0.830750,1.077227,0.426585,0.390000
critical,0.60,proposed_adaptive_hgrl,Proposed-AFD-HGRL,0.938750,1.032824,0.562909,0.210000
