number_of_tasks,method,label,data_collection_rate,task_completion_rate,task_completion_time_ratio,normalized_makespan_index,energy_consumption_index
4,paper1_deep_hgrl_ugv_assisted,Paper1-HGRL,0.981252,1.000000,0.919132,0.857870,0.960000
4,paper2_deep_cfr_marl,Paper2-CFR-MARL,0.993081,1.000000,0.915884,0.907858,0.959197
4,paper3_deep_mw_maddpg_uav_swarm,Paper3-MW-MADDPG,0.987978,1.000000,0.906438,0.942500,0.958011
4,paper4_deep_tanet_td3_multi_uav,Paper4-TANet-TD3,0.992658,1.000000,0.914452,0.917402,0.959227
4,proposed_adaptive_hgrl,Proposed-AFD-HGRL,0.961342,1.000000,0.881203,0.954900,0.956824
6,paper1_deep_hgrl_ugv_assisted,Paper1-HGRL,0.952502,1.000000,0.890382,0.886620,0.980000
6,paper2_deep_cfr_marl,Paper2-CFR-MARL,0.961831,1.000000,0.884634,0.939108,0.979197
6,paper3_deep_mw_maddpg_uav_swarm,Paper3-MW-MADDPG,0.959228,1.000000,0.877688,0.971250,0.978011
6,paper4_deep_tanet_td3_multi_uav,Paper4-TANet-TD3,0.961408,1.000000,0.883202,0.948652,0.979227
6,proposed_adaptive_hgrl,Proposed-AFD-HGRL,0.946342,1.000000,0.866203,0.969900,0.976824
8,paper1_deep_hgrl_ugv_assisted,Paper1-HGRL,0.923752,0.998750,0.861632,0.915370,1.000000
8,paper2_deep_cfr_marl,Paper2-CFR-MARL,0.930581,0.998750,0.853384,0.970358,0.999197
8,paper3_deep_mw_maddpg_uav_swarm,Paper3-MW-MADDPG,0.930478,0.998750,0.848938,1.000000,0.998011
8,paper4_deep_tanet_td3_multi_uav,Paper4-TANet-TD3,0.930158,0.998750,0.851952,0.979902,0.999227
8,proposed_adaptive_hgrl,Proposed-AFD-HGRL,0.931342,0.998750,0.851203,0.984900,0.996824
10,paper1_deep_hgrl_ugv_assisted,Paper1-HGRL,0.895002,0.970000,0.832882,0.944120,1.020000
10,paper2_deep_cfr_marl,Paper2-CFR-MARL,0.899331,0.967500,0.822134,1.001608,1.019197
10,paper3_deep_mw_maddpg_uav_swarm,Paper3-MW-MADDPG,0.901728,0.970000,0.820187,1.028750,1.018011
10,paper4_deep_tanet_td3_multi_uav,Paper4-TANet-TD3,0.898908,0.967500,0.820702,1.011152,1.019227
10,proposed_adaptive_hgrl,Proposed-AFD-HGRL,0.916342,0.983750,0.836203,0.999900,1.016824
12,paper1_deep_hgrl_ugv_assisted,Paper1-HGRL,0.866252,0.941250,0.804132,0.972870,1.040000
12,paper2_deep_cfr_marl,Paper2-CFR-MARL,0.868081,0.936250,0.790884,1.032858,1.039197
12,paper3_deep_mw_maddpg_uav_swarm,Paper3-MW-MADDPG,0.872978,0.941250,0.791438,1.057500,1.038011
12,paper4_deep_tanet_td3_multi_uav,Paper4-TANet-TD3,0.867658,0.936250,0.789452,1.042402,1.039227
12,proposed_adaptive_hgrl,Proposed-AFD-HGRL,0.901342,0.968750,0.821203,1.014900,1.036824
14,paper1_deep_hgrl_ugv_assisted,Paper1-HGRL,0.837502,0.912500,0.775382,1.001620,1.060000
14,paper2_deep_cfr_marl,Paper2-CFR-MARL,0.836831,0.905000,0.759634,1.064108,1.059197
14,paper3_deep_mw_maddpg_uav_swarm,Paper3-MW-MADDPG,0.844228,0.912500,0.762687,1.086250,1.058011
14,paper4_deep_tanet_td3_multi_uav,Paper4-TANet-TD3,0.836408,0.905000,0.758202,1.073652,1.059227
14,proposed_adaptive_hgrl,Proposed-AFD-HGRL,0.886342,0.953750,0.806203,1.029900,1.056824
16,paper1_deep_hgrl_ugv_assisted,Paper1-HGRL,0.808752,0.883750,0.746632,1.030370,1.080000
16,paper2_deep_cfr_marl,Paper2-CFR-MARL,0.805581,0.873750,0.728384,1.095358,1.079197
16,paper3_deep_mw_maddpg_uav_swarm,Paper3-MW-MADDPG,0.815478,0.883750,0.733938,1.115000,1.078011
16,paper4_deep_tanet_td3_multi_uav,Paper4-TANet-TD3,0.805158,0.873750,0.726952,1.104902,1.079227
16,proposed_adaptive_hgrl,Proposed-AFD-HGRL,0.871342,0.938750,0.791203,1.044900,1.076824
