number_of_uavs,method,label,data_collection_rate,task_completion_rate,task_completion_time_ratio,normalized_makespan_index,energy_consumption_index
4,paper1_deep_hgrl_ugv_assisted,Paper1-HGRL,0.896252,0.971250,0.834132,0.942870,0.955000
4,paper2_deep_cfr_marl,Paper2-CFR-MARL,0.898081,0.966250,0.825884,0.997858,0.954197
4,paper3_deep_mw_maddpg_uav_swarm,Paper3-MW-MADDPG,0.892978,0.961250,0.821438,1.027500,0.953011
4,paper4_deep_tanet_td3_multi_uav,Paper4-TANet-TD3,0.887658,0.956250,0.824452,1.007402,0.954227
4,proposed_adaptive_hgrl,Proposed-AFD-HGRL,0.866342,0.933750,0.801203,1.034900,0.969324
6,paper1_deep_hgrl_ugv_assisted,Paper1-HGRL,0.910002,0.985000,0.847882,0.929120,0.977500
6,paper2_deep_cfr_marl,Paper2-CFR-MARL,0.914331,0.982500,0.839634,0.984108,0.976697
6,paper3_deep_mw_maddpg_uav_swarm,Paper3-MW-MADDPG,0.911728,0.980000,0.835187,1.013750,0.975511
6,paper4_deep_tanet_td3_multi_uav,Paper4-TANet-TD3,0.908908,0.977500,0.838202,0.993652,0.976727
6,proposed_adaptive_hgrl,Proposed-AFD-HGRL,0.898842,0.966250,0.826203,1.009900,0.983074
8,paper1_deep_hgrl_ugv_assisted,Paper1-HGRL,0.923752,0.998750,0.861632,0.915370,1.000000
8,paper2_deep_cfr_marl,Paper2-CFR-MARL,0.930581,0.998750,0.853384,0.970358,0.999197
8,paper3_deep_mw_maddpg_uav_swarm,Paper3-MW-MADDPG,0.930478,0.998750,0.848938,1.000000,0.998011
8,paper4_deep_tanet_td3_multi_uav,Paper4-TANet-TD3,0.930158,0.998750,0.851952,0.979902,0.999227
8,proposed_adaptive_hgrl,Proposed-AFD-HGRL,0.931342,0.998750,0.851203,0.984900,0.996824
10,paper1_deep_hgrl_ugv_assisted,Paper1-HGRL,0.937502,1.000000,0.875382,0.901620,1.022500
10,paper2_deep_cfr_marl,Paper2-CFR-MARL,0.946831,1.000000,0.867134,0.956608,1.021697
10,paper3_deep_mw_maddpg_uav_swarm,Paper3-MW-MADDPG,0.949228,1.000000,0.862688,0.986250,1.020511
10,paper4_deep_tanet_td3_multi_uav,Paper4-TANet-TD3,0.951408,1.000000,0.865702,0.966152,1.021727
10,proposed_adaptive_hgrl,Proposed-AFD-HGRL,0.963842,1.000000,0.876203,0.959900,1.010574
12,paper1_deep_hgrl_ugv_assisted,Paper1-HGRL,0.951252,1.000000,0.889132,0.887870,1.045000
12,paper2_deep_cfr_marl,Paper2-CFR-MARL,0.963081,1.000000,0.880884,0.942858,1.044197
12,paper3_deep_mw_maddpg_uav_swarm,Paper3-MW-MADDPG,0.967978,1.000000,0.876437,0.972500,1.043011
12,paper4_deep_tanet_td3_multi_uav,Paper4-TANet-TD3,0.972658,1.000000,0.879452,0.952402,1.044227
12,proposed_adaptive_hgrl,Proposed-AFD-HGRL,0.996342,1.000000,0.901203,0.934900,1.024324
14,paper1_deep_hgrl_ugv_assisted,Paper1-HGRL,0.965002,1.000000,0.902882,0.874120,1.067500
14,paper2_deep_cfr_marl,Paper2-CFR-MARL,0.979331,1.000000,0.894634,0.929108,1.066697
14,paper3_deep_mw_maddpg_uav_swarm,Paper3-MW-MADDPG,0.986728,1.000000,0.890188,0.958750,1.065511
14,paper4_deep_tanet_td3_multi_uav,Paper4-TANet-TD3,0.993908,1.000000,0.893202,0.938652,1.066727
14,proposed_adaptive_hgrl,Proposed-AFD-HGRL,1.000000,1.000000,0.926203,0.909900,1.038074
16,paper1_deep_hgrl_ugv_assisted,Paper1-HGRL,0.978752,1.000000,0.916632,0.860370,1.090000
16,paper2_deep_cfr_marl,Paper2-CFR-MARL,0.995581,1.000000,0.908384,0.915358,1.089197
16,paper3_deep_mw_maddpg_uav_swarm,Paper3-MW-MADDPG,1.000000,1.000000,0.903938,0.945000,1.088011
16,paper4_deep_tanet_td3_multi_uav,Paper4-TANet-TD3,1.000000,1.000000,0.906952,0.924902,1.089227
16,proposed_adaptive_hgrl,Proposed-AFD-HGRL,1.000000,1.000000,0.951203,0.884900,1.051824
