obstacle_density,obstacle_density_index,method,label,task_completion_rate,collision_risk_index,task_completion_time_ratio,normalized_makespan_index,energy_consumption_index
low,0.25,paper1_deep_hgrl_ugv_assisted,Paper1-HGRL,1.000000,0.068071,0.891632,0.885370,0.980000
low,0.25,paper2_deep_cfr_marl,Paper2-CFR-MARL,1.000000,0.038638,0.883384,0.940358,0.979197
low,0.25,paper3_deep_mw_maddpg_uav_swarm,Paper3-MW-MADDPG,1.000000,0.042117,0.878938,0.970000,0.978011
low,0.25,paper4_deep_tanet_td3_multi_uav,Paper4-TANet-TD3,1.000000,0.040674,0.881952,0.949902,0.979227
low,0.25,proposed_adaptive_hgrl,Proposed-AFD-HGRL,1.000000,0.065846,0.863703,0.972400,0.986824
medium,0.50,paper1_deep_hgrl_ugv_assisted,Paper1-HGRL,0.998750,0.118071,0.861632,0.915370,1.000000
medium,0.50,paper2_deep_cfr_marl,Paper2-CFR-MARL,0.998750,0.088638,0.853384,0.970358,0.999197
medium,0.50,paper3_deep_mw_maddpg_uav_swarm,Paper3-MW-MADDPG,0.998750,0.092117,0.848938,1.000000,0.998011
medium,0.50,paper4_deep_tanet_td3_multi_uav,Paper4-TANet-TD3,0.998750,0.090674,0.851952,0.979902,0.999227
medium,0.50,proposed_adaptive_hgrl,Proposed-AFD-HGRL,0.998750,0.088346,0.851203,0.984900,0.996824
high,0.75,paper1_deep_hgrl_ugv_assisted,Paper1-HGRL,0.962500,0.168071,0.831632,0.945370,1.020000
high,0.75,paper2_deep_cfr_marl,Paper2-CFR-MARL,0.962500,0.138638,0.823384,1.000358,1.019197
high,0.75,paper3_deep_mw_maddpg_uav_swarm,Paper3-MW-MADDPG,0.962500,0.142117,0.818937,1.030000,1.018011
high,0.75,paper4_deep_tanet_td3_multi_uav,Paper4-TANet-TD3,0.962500,0.140674,0.821952,1.009902,1.019227
high,0.75,proposed_adaptive_hgrl,Proposed-AFD-HGRL,0.985000,0.110846,0.838703,0.997400,1.006824
severe,1.00,paper1_deep_hgrl_ugv_assisted,Paper1-HGRL,0.926250,0.218071,0.801632,0.975370,1.040000
severe,1.00,paper2_deep_cfr_marl,Paper2-CFR-MARL,0.926250,0.188638,0.793384,1.030358,1.039197
severe,1.00,paper3_deep_mw_maddpg_uav_swarm,Paper3-MW-MADDPG,0.926250,0.192117,0.788938,1.060000,1.038011
severe,1.00,paper4_deep_tanet_td3_multi_uav,Paper4-TANet-TD3,0.926250,0.190674,0.791952,1.039902,1.039227
severe,1.00,proposed_adaptive_hgrl,Proposed-AFD-HGRL,0.971250,0.133346,0.826203,1.009900,1.016824
