episode,method,label,data_collection_rate,task_completion_rate,task_completion_time_ratio,normalized_makespan_index,energy_consumption_index,objective_index,reward_index
0,paper1_deep_hgrl_ugv_assisted,Paper1-HGRL,0.200000,0.160000,0.200000,0.960000,0.860000,1.000000,0.000000
1000,paper1_deep_hgrl_ugv_assisted,Paper1-HGRL,0.246261,0.211869,0.236653,0.953438,0.863539,0.995692,0.004308
2000,paper1_deep_hgrl_ugv_assisted,Paper1-HGRL,0.279245,0.250189,0.267111,0.951604,0.870211,0.993799,0.006201
3000,paper1_deep_hgrl_ugv_assisted,Paper1-HGRL,0.305350,0.281369,0.293975,0.951968,0.878140,0.993052,0.006948
4000,paper1_deep_hgrl_ugv_assisted,Paper1-HGRL,0.336567,0.317413,0.322083,0.949761,0.883766,0.991064,0.008936
5000,paper1_deep_hgrl_ugv_assisted,Paper1-HGRL,0.369521,0.354959,0.350124,0.946357,0.888140,0.988522,0.011478
6000,paper1_deep_hgrl_ugv_assisted,Paper1-HGRL,0.391941,0.381747,0.373226,0.946690,0.894978,0.987888,0.012112
7000,paper1_deep_hgrl_ugv_assisted,Paper1-HGRL,0.405305,0.399265,0.392017,0.950191,0.903872,0.988879,0.011121
8000,paper1_deep_hgrl_ugv_assisted,Paper1-HGRL,0.424393,0.422306,0.412442,0.950972,0.910419,0.988545,0.011455
9000,paper1_deep_hgrl_ugv_assisted,Paper1-HGRL,0.453990,0.455663,0.436446,0.947138,0.913215,0.985940,0.014060
10000,paper1_deep_hgrl_ugv_assisted,Paper1-HGRL,0.482187,0.487435,0.459297,0.943474,0.915862,0.983454,0.016546
11000,paper1_deep_hgrl_ugv_assisted,Paper1-HGRL,0.501406,0.510056,0.477993,0.943030,0.920660,0.982609,0.017391
12000,paper1_deep_hgrl_ugv_assisted,Paper1-HGRL,0.520930,0.532816,0.496273,0.942111,0.924852,0.981557,0.018443
13000,paper1_deep_hgrl_ugv_assisted,Paper1-HGRL,0.549576,0.564539,0.517692,0.937207,0.925817,0.978541,0.021459
14000,paper1_deep_hgrl_ugv_assisted,Paper1-HGRL,0.578669,0.596561,0.538804,0.931804,0.926182,0.975304,0.024696
15000,paper1_deep_hgrl_ugv_assisted,Paper1-HGRL,0.595068,0.615744,0.554376,0.931175,0.929911,0.974480,0.025520
16000,paper1_deep_hgrl_ugv_assisted,Paper1-HGRL,0.602414,0.625740,0.565887,0.933878,0.935935,0.975346,0.024654
17000,paper1_deep_hgrl_ugv_assisted,Paper1-HGRL,0.614508,0.640355,0.578880,0.934406,0.940132,0.975149,0.024851
18000,paper1_deep_hgrl_ugv_assisted,Paper1-HGRL,0.632303,0.660547,0.593755,0.932392,0.942238,0.973703,0.026297
19000,paper1_deep_hgrl_ugv_assisted,Paper1-HGRL,0.643837,0.674361,0.605748,0.932634,0.945859,0.973407,0.026593
20000,paper1_deep_hgrl_ugv_assisted,Paper1-HGRL,0.646823,0.679516,0.613961,0.936059,0.951700,0.974722,0.025278
21000,paper1_deep_hgrl_ugv_assisted,Paper1-HGRL,0.654572,0.689328,0.623737,0.937352,0.955782,0.974991,0.025009
22000,paper1_deep_hgrl_ugv_assisted,Paper1-HGRL,0.674566,0.711284,0.638086,0.933534,0.955879,0.972723,0.027277
23000,paper1_deep_hgrl_ugv_assisted,Paper1-HGRL,0.696086,0.734671,0.652735,0.928901,0.955221,0.970064,0.029936
24000,paper1_deep_hgrl_ugv_assisted,Paper1-HGRL,0.708024,0.748386,0.663257,0.927907,0.957154,0.969242,0.030758
25000,paper1_deep_hgrl_ugv_assisted,Paper1-HGRL,0.716477,0.758527,0.672105,0.928123,0.959864,0.969041,0.030959
26000,paper1_deep_hgrl_ugv_assisted,Paper1-HGRL,0.732330,0.775987,0.683646,0.925204,0.960098,0.967287,0.032713
27000,paper1_deep_hgrl_ugv_assisted,Paper1-HGRL,0.750694,0.795880,0.695938,0.921113,0.959336,0.964962,0.035038
28000,paper1_deep_hgrl_ugv_assisted,Paper1-HGRL,0.758003,0.804643,0.703566,0.921285,0.961659,0.964782,0.035218
29000,paper1_deep_hgrl_ugv_assisted,Paper1-HGRL,0.754956,0.802979,0.706823,0.925449,0.966868,0.966610,0.033390
30000,paper1_deep_hgrl_ugv_assisted,Paper1-HGRL,0.756033,0.805371,0.711511,0.927819,0.970630,0.967555,0.032445
31000,paper1_deep_hgrl_ugv_assisted,Paper1-HGRL,0.766219,0.816809,0.719635,0.926410,0.971461,0.966621,0.033379
32000,paper1_deep_hgrl_ugv_assisted,Paper1-HGRL,0.774489,0.826270,0.726795,0.925636,0.972676,0.966016,0.033984
33000,paper1_deep_hgrl_ugv_assisted,Paper1-HGRL,0.774682,0.827595,0.730536,0.927970,0.976135,0.966976,0.033024
34000,paper1_deep_hgrl_ugv_assisted,Paper1-HGRL,0.777418,0.831408,0.735116,0.929170,0.978659,0.967379,0.032621
35000,paper1_deep_hgrl_ugv_assisted,Paper1-HGRL,0.792253,0.847268,0.744366,0.925417,0.977390,0.965315,0.034685
36000,paper1_deep_hgrl_ugv_assisted,Paper1-HGRL,0.810601,0.866590,0.754859,0.920153,0.974913,0.962504,0.037496
