number_of_uavs,method,label,time_cost_ms
5,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,8.577226
10,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,11.202226
15,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,15.577226
20,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,21.702226
25,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,29.577226
5,paper2_deep_cfr_marl,CFR-MARL,16.375000
10,paper2_deep_cfr_marl,CFR-MARL,19.000000
15,paper2_deep_cfr_marl,CFR-MARL,23.375000
20,paper2_deep_cfr_marl,CFR-MARL,29.500000
25,paper2_deep_cfr_marl,CFR-MARL,37.375000
5,paper3_deep_mw_maddpg_uav_swarm,MW-MADDPG,16.358470
10,paper3_deep_mw_maddpg_uav_swarm,MW-MADDPG,18.983470
15,paper3_deep_mw_maddpg_uav_swarm,MW-MADDPG,23.358470
20,paper3_deep_mw_maddpg_uav_swarm,MW-MADDPG,29.483470
25,paper3_deep_mw_maddpg_uav_swarm,MW-MADDPG,37.358470
5,paper4_deep_tanet_td3_multi_uav,TANet-TD3,12.242692
10,paper4_deep_tanet_td3_multi_uav,TANet-TD3,14.867692
15,paper4_deep_tanet_td3_multi_uav,TANet-TD3,19.242692
20,paper4_deep_tanet_td3_multi_uav,TANet-TD3,25.367692
25,paper4_deep_tanet_td3_multi_uav,TANet-TD3,33.242692
5,proposed_adaptive_hgrl,Proposed,10.375000
10,proposed_adaptive_hgrl,Proposed,13.000000
15,proposed_adaptive_hgrl,Proposed,17.375000
20,proposed_adaptive_hgrl,Proposed,23.500000
25,proposed_adaptive_hgrl,Proposed,31.375000
