number_of_ugvs,method,label,time_cost_ms
1,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,11.626519
2,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,12.647475
3,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,13.515431
4,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,14.406950
5,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,15.528420
6,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,16.926297
7,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,18.444397
8,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,19.867490
9,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,21.119180
10,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,22.332146
11,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,23.726153
12,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,25.406008
13,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,27.265193
14,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,29.083803
15,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,30.000000
1,paper2_deep_cfr_marl,CFR-MARL,14.175324
2,paper2_deep_cfr_marl,CFR-MARL,14.987280
3,paper2_deep_cfr_marl,CFR-MARL,15.822799
4,paper2_deep_cfr_marl,CFR-MARL,16.888269
5,paper2_deep_cfr_marl,CFR-MARL,18.230146
6,paper2_deep_cfr_marl,CFR-MARL,19.692247
7,paper2_deep_cfr_marl,CFR-MARL,21.059340
8,paper2_deep_cfr_marl,CFR-MARL,22.255030
9,paper2_deep_cfr_marl,CFR-MARL,23.411995
10,paper2_deep_cfr_marl,CFR-MARL,24.750002
11,paper2_deep_cfr_marl,CFR-MARL,26.373857
12,paper2_deep_cfr_marl,CFR-MARL,28.177042
13,paper2_deep_cfr_marl,CFR-MARL,29.939652
14,paper2_deep_cfr_marl,CFR-MARL,30.000000
15,paper2_deep_cfr_marl,CFR-MARL,30.000000
1,paper3_deep_mw_maddpg_uav_swarm,MW-MADDPG,13.972260
2,paper3_deep_mw_maddpg_uav_swarm,MW-MADDPG,14.751779
3,paper3_deep_mw_maddpg_uav_swarm,MW-MADDPG,15.761249
4,paper3_deep_mw_maddpg_uav_swarm,MW-MADDPG,17.047126
5,paper3_deep_mw_maddpg_uav_swarm,MW-MADDPG,18.453226
6,paper3_deep_mw_maddpg_uav_swarm,MW-MADDPG,19.764319
7,paper3_deep_mw_maddpg_uav_swarm,MW-MADDPG,20.904009
8,paper3_deep_mw_maddpg_uav_swarm,MW-MADDPG,22.004975
9,paper3_deep_mw_maddpg_uav_swarm,MW-MADDPG,23.286982
10,paper3_deep_mw_maddpg_uav_swarm,MW-MADDPG,24.854837
11,paper3_deep_mw_maddpg_uav_swarm,MW-MADDPG,26.602022
12,paper3_deep_mw_maddpg_uav_swarm,MW-MADDPG,28.308632
13,paper3_deep_mw_maddpg_uav_swarm,MW-MADDPG,29.843552
14,paper3_deep_mw_maddpg_uav_swarm,MW-MADDPG,30.000000
15,paper3_deep_mw_maddpg_uav_swarm,MW-MADDPG,30.000000
1,paper4_deep_tanet_td3_multi_uav,TANet-TD3,13.670594
2,paper4_deep_tanet_td3_multi_uav,TANet-TD3,14.624064
3,paper4_deep_tanet_td3_multi_uav,TANet-TD3,15.853941
4,paper4_deep_tanet_td3_multi_uav,TANet-TD3,17.204041
5,paper4_deep_tanet_td3_multi_uav,TANet-TD3,18.459134
6,paper4_deep_tanet_td3_multi_uav,TANet-TD3,19.542824
7,paper4_deep_tanet_td3_multi_uav,TANet-TD3,20.587789
8,paper4_deep_tanet_td3_multi_uav,TANet-TD3,21.813797
9,paper4_deep_tanet_td3_multi_uav,TANet-TD3,23.325652
10,paper4_deep_tanet_td3_multi_uav,TANet-TD3,25.016837
11,paper4_deep_tanet_td3_multi_uav,TANet-TD3,26.667447
12,paper4_deep_tanet_td3_multi_uav,TANet-TD3,28.146367
13,paper4_deep_tanet_td3_multi_uav,TANet-TD3,29.531819
14,paper4_deep_tanet_td3_multi_uav,TANet-TD3,30.000000
15,paper4_deep_tanet_td3_multi_uav,TANet-TD3,30.000000
1,proposed_adaptive_hgrl,Proposed,11.708269
2,proposed_adaptive_hgrl,Proposed,12.882146
3,proposed_adaptive_hgrl,Proposed,14.176247
4,proposed_adaptive_hgrl,Proposed,15.375340
5,proposed_adaptive_hgrl,Proposed,16.403030
6,proposed_adaptive_hgrl,Proposed,17.391995
7,proposed_adaptive_hgrl,Proposed,18.562002
8,proposed_adaptive_hgrl,Proposed,20.017857
9,proposed_adaptive_hgrl,Proposed,21.653042
10,proposed_adaptive_hgrl,Proposed,23.247652
11,proposed_adaptive_hgrl,Proposed,24.670572
12,proposed_adaptive_hgrl,Proposed,26.000024
13,proposed_adaptive_hgrl,Proposed,27.451651
14,proposed_adaptive_hgrl,Proposed,29.180253
15,proposed_adaptive_hgrl,Proposed,30.000000
