episode,method,label,task_completion_rate,task_completion_time_ratio,energy_consumption_index
1,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.186392,0.900621,0.852517
100,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.183335,0.895945,0.849527
200,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.187384,0.896365,0.850612
300,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.206268,0.889106,0.845327
400,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.208521,0.890863,0.847346
500,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.215643,0.888274,0.845752
600,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.222392,0.886129,0.844480
700,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.227529,0.884804,0.843852
800,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.227755,0.885693,0.845024
900,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.239972,0.879983,0.840801
1000,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.254285,0.873166,0.835691
1100,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.258763,0.871838,0.835103
1200,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.264693,0.868901,0.833244
1300,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.271671,0.865679,0.831207
1400,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.272367,0.865718,0.831906
1500,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.278893,0.862387,0.829924
1600,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.284822,0.859180,0.828128
1700,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.290032,0.856425,0.826794
1800,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.297731,0.851822,0.824046
1900,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.298477,0.851272,0.824715
2000,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.308273,0.845344,0.821090
2100,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.309704,0.843982,0.821306
2200,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.314663,0.840502,0.819895
2300,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.319313,0.837184,0.818721
2400,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.325550,0.832830,0.816801
2500,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.329231,0.829898,0.816144
2600,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.335106,0.825829,0.814649
2700,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.337349,0.823428,0.814606
2800,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.342273,0.819687,0.813547
2900,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.341039,0.819292,0.815297
3000,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.351150,0.812686,0.812029
3100,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.354390,0.809927,0.811963
3200,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.347519,0.812624,0.816406
3300,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.351237,0.809717,0.816298
3400,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.363702,0.802040,0.812312
3500,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.367086,0.799314,0.812390
3600,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.363638,0.800549,0.815714
3700,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.366695,0.798362,0.816232
3800,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.365377,0.798590,0.818710
3900,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.371020,0.795171,0.818179
4000,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.376131,0.792215,0.817993
4100,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.379522,0.790326,0.818638
4200,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.381643,0.789211,0.819868
