number_of_uavs,method,label,task_completion_rate,task_completion_time_ratio,energy_consumption_index
5,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.507361,0.724394,0.723496
10,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.569119,0.692358,0.738893
15,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.637113,0.673231,0.749373
20,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.697654,0.650373,0.764549
25,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.747731,0.615322,0.787603
5,paper2_deep_cfr_marl,CFR-MARL,0.377765,0.854664,0.764668
10,paper2_deep_cfr_marl,CFR-MARL,0.422000,0.835280,0.775395
15,paper2_deep_cfr_marl,CFR-MARL,0.477697,0.820761,0.789004
20,paper2_deep_cfr_marl,CFR-MARL,0.536693,0.793617,0.810824
25,paper2_deep_cfr_marl,CFR-MARL,0.586100,0.764025,0.834938
5,paper3_deep_mw_maddpg_uav_swarm,MW-MADDPG,0.385844,0.854221,0.759167
10,paper3_deep_mw_maddpg_uav_swarm,MW-MADDPG,0.426332,0.840385,0.771451
15,paper3_deep_mw_maddpg_uav_swarm,MW-MADDPG,0.472970,0.818899,0.791767
20,paper3_deep_mw_maddpg_uav_swarm,MW-MADDPG,0.530627,0.787500,0.816258
25,paper3_deep_mw_maddpg_uav_swarm,MW-MADDPG,0.588386,0.765649,0.835352
5,paper4_deep_tanet_td3_multi_uav,TANet-TD3,0.392619,0.855021,0.753160
10,paper4_deep_tanet_td3_multi_uav,TANet-TD3,0.438360,0.838641,0.771797
15,paper4_deep_tanet_td3_multi_uav,TANet-TD3,0.479284,0.809129,0.796230
20,paper4_deep_tanet_td3_multi_uav,TANet-TD3,0.528817,0.781529,0.816966
25,paper4_deep_tanet_td3_multi_uav,TANet-TD3,0.588048,0.766696,0.829573
5,proposed_adaptive_hgrl,Proposed,0.613297,0.644895,0.679846
10,proposed_adaptive_hgrl,Proposed,0.687925,0.610485,0.695291
15,proposed_adaptive_hgrl,Proposed,0.751199,0.569533,0.708968
20,proposed_adaptive_hgrl,Proposed,0.812755,0.540562,0.714473
25,proposed_adaptive_hgrl,Proposed,0.884691,0.515838,0.716592
