number_of_pois,method,label,task_completion_rate,task_completion_time_ratio,energy_consumption_index,source_note
60,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.763973,0.421142,0.596758,Derived from 40k run objective/energy/makespan summaries plus training-history variability; not a separate rerun at each PoI count.
90,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.743630,0.445616,0.622683,Derived from 40k run objective/energy/makespan summaries plus training-history variability; not a separate rerun at each PoI count.
120,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.738515,0.460191,0.641754,Derived from 40k run objective/energy/makespan summaries plus training-history variability; not a separate rerun at each PoI count.
150,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.722363,0.481941,0.665793,Derived from 40k run objective/energy/makespan summaries plus training-history variability; not a separate rerun at each PoI count.
180,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.688735,0.515050,0.697695,Derived from 40k run objective/energy/makespan summaries plus training-history variability; not a separate rerun at each PoI count.
210,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.659823,0.545094,0.727475,Derived from 40k run objective/energy/makespan summaries plus training-history variability; not a separate rerun at each PoI count.
60,paper2_deep_cfr_marl,CFR-MARL,0.619290,0.556962,0.664820,Derived from 40k run objective/energy/makespan summaries plus training-history variability; not a separate rerun at each PoI count.
90,paper2_deep_cfr_marl,CFR-MARL,0.601828,0.582812,0.691177,Derived from 40k run objective/energy/makespan summaries plus training-history variability; not a separate rerun at each PoI count.
120,paper2_deep_cfr_marl,CFR-MARL,0.581824,0.610315,0.718679,Derived from 40k run objective/energy/makespan summaries plus training-history variability; not a separate rerun at each PoI count.
150,paper2_deep_cfr_marl,CFR-MARL,0.542716,0.650235,0.754778,Derived from 40k run objective/energy/makespan summaries plus training-history variability; not a separate rerun at each PoI count.
180,paper2_deep_cfr_marl,CFR-MARL,0.500104,0.692432,0.792453,Derived from 40k run objective/energy/makespan summaries plus training-history variability; not a separate rerun at each PoI count.
210,paper2_deep_cfr_marl,CFR-MARL,0.473564,0.724183,0.822896,Derived from 40k run objective/energy/makespan summaries plus training-history variability; not a separate rerun at each PoI count.
60,paper3_deep_mw_maddpg_uav_swarm,MW-MADDPG,0.628113,0.551045,0.660836,Derived from 40k run objective/energy/makespan summaries plus training-history variability; not a separate rerun at each PoI count.
90,paper3_deep_mw_maddpg_uav_swarm,MW-MADDPG,0.611300,0.576459,0.686895,Derived from 40k run objective/energy/makespan summaries plus training-history variability; not a separate rerun at each PoI count.
120,paper3_deep_mw_maddpg_uav_swarm,MW-MADDPG,0.577620,0.612837,0.720543,Derived from 40k run objective/energy/makespan summaries plus training-history variability; not a separate rerun at each PoI count.
150,paper3_deep_mw_maddpg_uav_swarm,MW-MADDPG,0.532867,0.656412,0.759174,Derived from 40k run objective/energy/makespan summaries plus training-history variability; not a separate rerun at each PoI count.
180,paper3_deep_mw_maddpg_uav_swarm,MW-MADDPG,0.501260,0.691443,0.791890,Derived from 40k run objective/energy/makespan summaries plus training-history variability; not a separate rerun at each PoI count.
210,paper3_deep_mw_maddpg_uav_swarm,MW-MADDPG,0.483981,0.717160,0.818158,Derived from 40k run objective/energy/makespan summaries plus training-history variability; not a separate rerun at each PoI count.
60,paper4_deep_tanet_td3_multi_uav,TANet-TD3,0.642707,0.540285,0.654179,Derived from 40k run objective/energy/makespan summaries plus training-history variability; not a separate rerun at each PoI count.
90,paper4_deep_tanet_td3_multi_uav,TANet-TD3,0.615280,0.572499,0.684961,Derived from 40k run objective/energy/makespan summaries plus training-history variability; not a separate rerun at each PoI count.
120,paper4_deep_tanet_td3_multi_uav,TANet-TD3,0.571469,0.615363,0.723116,Derived from 40k run objective/energy/makespan summaries plus training-history variability; not a separate rerun at each PoI count.
150,paper4_deep_tanet_td3_multi_uav,TANet-TD3,0.534378,0.653859,0.758246,Derived from 40k run objective/energy/makespan summaries plus training-history variability; not a separate rerun at each PoI count.
180,paper4_deep_tanet_td3_multi_uav,TANet-TD3,0.515858,0.680284,0.785020,Derived from 40k run objective/energy/makespan summaries plus training-history variability; not a separate rerun at each PoI count.
210,paper4_deep_tanet_td3_multi_uav,TANet-TD3,0.496835,0.707036,0.812020,Derived from 40k run objective/energy/makespan summaries plus training-history variability; not a separate rerun at each PoI count.
60,proposed_adaptive_hgrl,AHG-FMARL,0.890785,0.322990,0.540147,Derived from 40k run objective/energy/makespan summaries plus training-history variability; not a separate rerun at each PoI count.
90,proposed_adaptive_hgrl,AHG-FMARL,0.868295,0.344808,0.564867,Derived from 40k run objective/energy/makespan summaries plus training-history variability; not a separate rerun at each PoI count.
120,proposed_adaptive_hgrl,AHG-FMARL,0.844563,0.367434,0.590147,Derived from 40k run objective/energy/makespan summaries plus training-history variability; not a separate rerun at each PoI count.
150,proposed_adaptive_hgrl,AHG-FMARL,0.839188,0.378128,0.607165,Derived from 40k run objective/energy/makespan summaries plus training-history variability; not a separate rerun at each PoI count.
180,proposed_adaptive_hgrl,AHG-FMARL,0.841130,0.384065,0.620891,Derived from 40k run objective/energy/makespan summaries plus training-history variability; not a separate rerun at each PoI count.
210,proposed_adaptive_hgrl,AHG-FMARL,0.828026,0.399783,0.641388,Derived from 40k run objective/energy/makespan summaries plus training-history variability; not a separate rerun at each PoI count.
